Purchase ID,SN,Age,Gender,Item ID,Item Name,Price
147,Hailaphos89,35,Male,24,Warped Fetish,3.81
196,Maradaran90,35,Female,9,"Thorn, Conqueror of the Corrupted",2.73
264,Saesrideu94,35,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32
372,Saistyphos30,35,Male,64,Fusion Pummel,4.82
483,Saistyphos30,35,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
484,Chanosian48,35,Other / Non-Disclosed,39,"Betrayal, Whisper of Grieving Widows",3.94
498,Firon67,35,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
512,Sastydeu50,35,Male,169,"Interrogator, Blood Blade of the Queen",2.18
687,Ealiril69,35,Male,78,"Glimmer, Ender of the Moon",4.4
688,Saistyphos30,35,Male,29,"Chaos, Ender of the End",1.98
739,Mindirranya33,35,Male,61,Ragnarok,3.87
60,Yadanu52,34,Male,44,Bonecarvin Battle Axe,2.38
77,Lirtosia63,34,Male,20,Netherbane,3.27
143,Eyista89,34,Male,124,Venom Claymore,1.29
307,Chamastya76,34,Male,53,Vengeance Cleaver,2.05
308,Undirra73,34,Male,98,"Deadline, Voice Of Subtlety",2.89
383,Yalo85,34,Male,11,Brimstone,3.65
398,Ardcil81,34,Male,96,Blood-Forged Skeletal Spine,3.09
544,Ardcil81,34,Male,3,Phantomlight,2.49
770,Lirtosia63,34,Male,12,Dawne,1.02
49,Iaralrgue74,33,Male,110,Suspension,1.44
75,Philodil43,33,Male,124,Venom Claymore,1.29
86,Qarirwen82,33,Male,129,"Fate, Vengeance of Eternal Justice",1.54
138,Rarallo90,33,Male,136,Ghastly Adamantite Protector,3.58
203,Aelollo59,33,Male,3,Phantomlight,2.49
319,Rarallo90,33,Male,144,Blood Infused Guardian,1.94
321,Undjaskla97,33,Male,118,"Ghost Reaver, Longsword of Magic",2.17
335,Undimsya85,33,Male,67,"Celeste, Incarnation of the Corrupted",3.46
376,Ilimya66,33,Male,59,"Lightning, Etcher of the King",4.23
419,Iaralrgue74,33,Male,171,Scalpel,1.79
431,Aelollo59,33,Male,172,Blade of the Grave,3.14
678,Rarallo90,33,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
681,Yalaeria91,33,Male,28,"Flux, Destroyer of Due Diligence",1.06
689,Undjaskla97,33,Male,76,Haunted Bronzed Bludgeon,3.15
53,Ilosianya35,32,Male,176,Relentless Iron Skewer,2.84
85,Umolrian85,32,Female,33,Curved Axe,1.16
210,Umolrian85,32,Female,136,Ghastly Adamantite Protector,3.58
412,Lisiriya82,32,Male,86,Stormfury Lantern,2.27
436,Umolrian85,32,Female,80,Dreamsong,3.39
482,Sundjask71,32,Female,77,"Piety, Guardian of Riddles",4
501,Eodairu79,32,Male,151,Severance,3.4
653,Chamast86,32,Female,53,Vengeance Cleaver,2.05
158,Sundadar27,31,Male,111,Misery's End,4.89
201,Chanosia60,31,Male,2,Verdict,2.48
232,Sundadar27,31,Male,114,Yearning Mageblade,3.82
474,Ina92,31,Male,145,Fiery Glass Crusader,4.58
541,Aesri53,31,Male,161,Devine,1.76
664,Chamistast30,31,Male,47,"Alpha, Reach of Ending Hope",3.58
700,Chanosia60,31,Male,90,Betrayer,2.94
19,Chamalo71,30,Male,89,"Blazefury, Protector of Delusions",4.64
24,Siala43,30,Male,141,Persuasion,3.19
36,Idaisuir85,30,Male,76,Haunted Bronzed Bludgeon,3.15
62,Yadaphos40,30,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
88,Laedallo55,30,Male,82,Nirvana,4.9
100,Pheodaisun84,30,Male,12,Dawne,1.02
118,Pheodaisun84,30,Male,78,"Glimmer, Ender of the Moon",4.4
135,Ethriel85,30,Male,146,Warped Iron Scimitar,3.1
171,Caesrinusuir82,30,Male,102,Avenger,3.44
173,Fironon91,30,Male,5,Putrid Fan,4.08
174,Lassjask63,30,Male,144,Blood Infused Guardian,1.94
177,Syathe73,30,Female,135,Warped Diamond Crusader,1.4
186,Chadista79,30,Male,77,"Piety, Guardian of Riddles",4
221,Ealrion88,30,Male,175,Woeful Adamantite Claymore,4.48
239,Eodailis27,30,Male,19,"Pursuit, Cudgel of Necromancy",1.02
266,Siala43,30,Male,113,Solitude's Reaver,4.07
275,Smaistysu35,30,Male,173,Stormfury Longsword,4.93
310,Chadadarla74,30,Male,117,"Heartstriker, Legacy of the Light",1.79
367,Eodailis27,30,Male,138,"Peacekeeper, Wit of Dark Magic",4.74
417,Pheodaisun84,30,Male,98,"Deadline, Voice Of Subtlety",2.89
421,Yadaphos40,30,Male,26,Unholy Wand,1.12
459,Eolan54,30,Male,129,"Fate, Vengeance of Eternal Justice",1.54
494,Alaesu77,30,Male,3,Phantomlight,2.49
506,Chadista79,30,Male,25,Hero Cane,4.35
562,Marynde90,30,Male,83,Lifebender,3.33
589,Seolollo93,30,Male,106,Crying Steel Sickle,3.41
614,Chadadarla74,30,Male,65,Conqueror Adamantite Mace,4.24
624,Marynde90,30,Male,29,"Chaos, Ender of the End",1.98
650,Smaistysu35,30,Male,161,Devine,1.76
671,Caesrinusuir82,30,Male,152,Darkheart,1.74
673,Idacal95,30,Male,130,Alpha,2.07
696,Yarolwen77,30,Male,87,"Deluge, Edge of the West",4.43
698,Yarithrin84,30,Female,58,"Freak's Bite, Favor of Holy Might",4.14
717,Chanilsast61,30,Male,177,"Winterthorn, Defender of Shifting Worlds",2.08
730,Aidaira26,30,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
25,Lisirra87,29,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
70,Pheodai94,29,Male,143,Frenzied Scimitar,1.56
213,Lirtastan49,29,Male,2,Verdict,2.48
274,Aerithllora36,29,Female,82,Nirvana,4.9
360,Ali84,29,Male,14,Possessed Core,2.61
440,Aisurdru79,29,Female,75,Brutality Ivory Warmace,2.42
458,Chamadarnya73,29,Male,166,Thirsty Iron Reaver,3.07
470,Arirgue63,29,Male,4,Bloodlord's Fetish,1.7
518,Yalostiphos68,29,Male,160,Azurewrath,4.4
540,Shidai42,29,Male,7,"Thorn, Satchel of Dark Souls",1.33
578,Aerithllora36,29,Female,153,Mercenary Sabre,3.74
618,Aisurdru79,29,Female,183,Dragon's Greatsword,1.09
635,Ali84,29,Male,4,Bloodlord's Fetish,1.7
115,Nitherian58,28,Male,13,Serenity,1.41
184,Aisur51,28,Male,32,Orenmir,1.14
489,Jiskimsda56,28,Male,32,Orenmir,1.14
553,Yadam35,28,Male,2,Verdict,2.48
606,Nitherian58,28,Male,123,Twilight's Carver,2.28
46,Yasrisu92,27,Male,102,Avenger,3.44
105,Eulanurin88,27,Male,10,Sleepwalker,1.79
123,Seudaillorap38,27,Male,81,Dreamkiss,3.61
190,Lisadar44,27,Male,69,"Frenzy, Defender of the Harvest",1.98
193,Ristydru66,27,Male,62,Piece Maker,1.87
594,Filrion59,27,Male,89,"Blazefury, Protector of Delusions",4.64
596,Seudaillorap38,27,Male,146,Warped Iron Scimitar,3.1
631,Assassa81,27,Male,137,"Aetherius, Boon of the Blessed",3.39
639,Liawista80,27,Male,86,Stormfury Lantern,2.27
677,Tyarithn67,27,Male,32,Orenmir,1.14
79,Assjaskan56,26,Male,15,Soul Infused Crystal,2.96
231,Yarithsurgue62,26,Male,139,"Mercy, Katana of Dismay",4.94
257,Yasur35,26,Male,175,Woeful Adamantite Claymore,4.48
258,Assehoan67,26,Male,149,"Tranquility, Razor of Black Magic",1.75
285,Alaesu91,26,Male,163,Thunderfury Scimitar,3.45
387,Bartassaya73,26,Male,39,"Betrayal, Whisper of Grieving Widows",3.94
390,Asur53,26,Male,75,Brutality Ivory Warmace,2.42
443,Iarallo65,26,Male,149,"Tranquility, Razor of Black Magic",1.75
485,Errian63,26,Female,94,Mourning Blade,3.49
573,Sundista37,26,Male,156,Soul-Forged Steel Shortsword,1.77
644,Bartassaya73,26,Male,22,Amnesia,2.18
656,Ethrasyon38,26,Male,115,Spectral Diamond Doomblade,2.04
762,Asur53,26,Male,110,Suspension,1.44
772,Asur53,26,Male,136,Ghastly Adamantite Protector,3.58
55,Phaelap26,25,Female,84,Arcane Gem,3.79
65,Chamirraya83,25,Male,34,Retribution Axe,2.22
72,Marilsa69,25,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
74,Lisosia93,25,Male,89,"Blazefury, Protector of Delusions",4.64
83,Aina42,25,Male,12,Dawne,1.02
110,Ririp86,25,Male,139,"Mercy, Katana of Dismay",4.94
120,Lisosia93,25,Male,24,Warped Fetish,3.81
130,Maridisya31,25,Male,120,Agatha,3.08
151,Marilsanya48,25,Male,105,Hailstorm Shadowsteel Scythe,3.03
159,Tyaelorap29,25,Male,39,"Betrayal, Whisper of Grieving Widows",3.94
192,Lisjaskya84,25,Male,98,"Deadline, Voice Of Subtlety",2.89
224,Lisosia93,25,Male,157,"Spada, Etcher of Hatred",4.8
226,Alim85,25,Male,54,Eternal Cleaver,2.5
265,Lirtirra37,25,Male,172,Blade of the Grave,3.14
286,Aellynun67,25,Male,153,Mercenary Sabre,3.74
289,Marim28,25,Female,83,Lifebender,3.33
298,Minduli80,25,Male,110,Suspension,1.44
301,Frichadaran88,25,Male,106,Crying Steel Sickle,3.41
309,Aestysu37,25,Male,170,Shadowsteel,3.97
316,Tyalaesu89,25,Male,15,Soul Infused Crystal,2.96
326,Lisossa46,25,Male,54,Eternal Cleaver,2.5
332,Undassa89,25,Male,161,Devine,1.76
353,Ryanara76,25,Male,174,Primitive Blade,3.47
361,Frichjaskan98,25,Male,19,"Pursuit, Cudgel of Necromancy",1.02
363,Aina42,25,Male,45,Glinting Glass Edge,3.85
365,Tyaedainu44,25,Male,43,Foul Edge,3.54
373,Aina42,25,Male,103,Singed Scalpel,4.35
375,Hallysucal81,25,Male,181,Reaper's Toll,1.66
380,Risty84,25,Male,50,Dawn,4.6
397,Eusri26,25,Male,100,Blindscythe,3.27
405,Aesurstilis64,25,Male,70,Hope's End,1.03
416,Aestysu37,25,Male,13,Serenity,1.41
418,Marim28,25,Female,125,Whistling Mithril Warblade,1
445,Phaelap26,25,Female,150,Deathraze,2.85
454,Lassimla92,25,Male,1,Crucifer,3.26
457,Eulae84,25,Male,61,Ragnarok,3.87
460,Assistasda90,25,Male,103,Singed Scalpel,4.35
463,Frichadaran88,25,Male,48,"Rage, Legacy of the Lone Victor",2.48
513,Ilaesudil92,25,Male,25,Hero Cane,4.35
524,Sally64,25,Female,46,Hopeless Ebon Dualblade,1.33
537,Sondassan80,25,Male,112,Worldbreaker,2.6
538,Chanadar44,25,Male,141,Persuasion,3.19
549,Maluncil97,25,Other / Non-Disclosed,146,Warped Iron Scimitar,3.1
558,Lassadarsda57,25,Female,108,"Extraction, Quickblade Of Trembling Hands",3.53
579,Marilsa69,25,Female,12,Dawne,1.02
588,Lassadarsda57,25,Female,15,Soul Infused Crystal,2.96
593,Lassimla92,25,Male,128,"Blazeguard, Reach of Eternity",4.91
603,Lisosia93,25,Male,141,Persuasion,3.19
609,Lisosia93,25,Male,40,Second Chance,2.52
622,Chanirra64,25,Male,129,"Fate, Vengeance of Eternal Justice",1.54
627,Arin32,25,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
629,Maluncil97,25,Other / Non-Disclosed,107,"Splitter, Foe Of Subtlety",2.18
663,Lalossa38,25,Male,72,Winter's Bite,3.77
680,Asty82,25,Male,96,Blood-Forged Skeletal Spine,3.09
701,Phiristi62,25,Male,10,Sleepwalker,1.79
712,Lisilsa62,25,Male,92,Final Critic,4.88
724,Lisassasta50,25,Male,144,Blood Infused Guardian,1.94
734,Arin32,25,Male,165,Bone Crushing Silver Skewer,4.86
759,Tyaelorap29,25,Male,72,Winter's Bite,3.77
2,Ithergue48,24,Male,92,Final Critic,4.88
3,Chamassasya86,24,Male,100,Blindscythe,3.27
29,Tyida79,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
43,Aelly27,24,Male,116,Renewed Skeletal Katana,4.18
44,Tyeosri53,24,Male,9,"Thorn, Conqueror of the Corrupted",2.73
69,Jiskossa61,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
102,Maropast28,24,Male,109,"Downfall, Scalpel Of The Emperor",4.76
103,Frichim77,24,Male,7,"Thorn, Satchel of Dark Souls",1.33
104,Thryallym62,24,Male,53,Vengeance Cleaver,2.05
126,Frichim77,24,Male,75,Brutality Ivory Warmace,2.42
160,Lirtimst73,24,Male,44,Bonecarvin Battle Axe,2.38
179,Mindista32,24,Male,59,"Lightning, Etcher of the King",4.23
180,Saena74,24,Male,95,Singed Onyx Warscythe,4.74
197,Mindetosya30,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
207,Sondastsda82,24,Male,145,Fiery Glass Crusader,4.58
225,Tyaenasti87,24,Female,154,Feral Katana,4.4
230,Peorith44,24,Male,102,Avenger,3.44
235,Rairin89,24,Male,163,Thunderfury Scimitar,3.45
243,Quaranmol58,24,Male,83,Lifebender,3.33
244,Lirtossa60,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
246,Lirtilsa71,24,Male,139,"Mercy, Katana of Dismay",4.94
255,Sondastsda82,24,Male,71,Demise,1.61
261,Tyeosri53,24,Male,141,Persuasion,3.19
263,Aeral43,24,Male,78,"Glimmer, Ender of the Moon",4.4
277,Ennalmol65,24,Male,92,Final Critic,4.88
284,Firan91,24,Male,128,"Blazeguard, Reach of Eternity",4.91
290,Idastidru52,24,Male,147,"Hellreaver, Heirloom of Inception",4.93
303,Aeri84,24,Male,71,Demise,1.61
304,Iasursti71,24,Male,181,Reaper's Toll,1.66
306,Mindilsa34,24,Female,38,"The Void, Vengeance of Dark Magic",2.37
314,Ialidru40,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
320,Lirtilsa72,24,Male,77,"Piety, Guardian of Riddles",4
358,Pheutherin27,24,Male,74,Yearning Crusher,4.18
382,Phistyn52,24,Male,164,Exiled Doomblade,1.63
403,Frichadar89,24,Male,162,Abyssal Shard,2.67
422,Eusri70,24,Female,154,Feral Katana,4.4
423,Aisurria69,24,Male,10,Sleepwalker,1.79
427,Leyirra83,24,Female,170,Shadowsteel,3.97
428,Aelly27,24,Male,14,Possessed Core,2.61
437,Frichosiala98,24,Female,43,Foul Edge,3.54
453,Euthe35,24,Male,70,Hope's End,1.03
461,Ennrian78,24,Male,168,"Sun Strike, Jaws of Twisted Visions",1.48
465,Sondastsda82,24,Male,4,Bloodlord's Fetish,1.7
469,Tyialisudeu65,24,Male,148,"Warmonger, Gift of Suffering's End",4.03
475,Lirtistanya48,24,Male,6,Rusty Skull,3.7
490,Idastidru52,24,Male,148,"Warmonger, Gift of Suffering's End",4.03
495,Ermol76,24,Male,97,"Swan Song, Gouger Of Terror",2.5
499,Iadueria43,24,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71
519,Eusri70,24,Female,140,Striker,2.94
523,Aillyriadru65,24,Male,21,Souleater,1.1
525,Lirtimst73,24,Male,126,Exiled Mithril Longsword,2
527,Lisim51,24,Male,102,Avenger,3.44
530,Leetirraya83,24,Male,5,Putrid Fan,4.08
543,Idastidru52,24,Male,121,Massacre,1.6
580,Tyida79,24,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
604,Lisim51,24,Male,34,Retribution Axe,2.22
608,Leyirra83,24,Female,132,Persuasion,3.33
637,Airi27,24,Other / Non-Disclosed,163,Thunderfury Scimitar,3.45
638,Eurisuru25,24,Male,22,Amnesia,2.18
647,Chadjask85,24,Male,61,Ragnarok,3.87
651,Lirtilsa72,24,Male,132,Persuasion,3.33
654,Tyialisudeu65,24,Male,19,"Pursuit, Cudgel of Necromancy",1.02
676,Idastidru52,24,Male,111,Misery's End,4.89
682,Lirtossa60,24,Male,135,Warped Diamond Crusader,1.4
691,Lirtistanya48,24,Male,112,Worldbreaker,2.6
735,Leetirraya83,24,Male,54,Eternal Cleaver,2.5
779,Ennrian78,24,Male,50,Dawn,4.6
4,Iskosia90,23,Male,131,Fury,1.44
10,Inguron55,23,Male,95,Singed Onyx Warscythe,4.74
11,Haisrisuir60,23,Male,162,Abyssal Shard,2.67
45,Haerith37,23,Male,181,Reaper's Toll,1.66
58,Tyisur83,23,Male,152,Darkheart,1.74
80,Irithlis29,23,Male,165,Bone Crushing Silver Skewer,4.86
98,Chadossa89,23,Male,141,Persuasion,3.19
99,Haisrisuir60,23,Male,101,Final Critic,4.19
121,Ilosia37,23,Male,1,Crucifer,3.26
132,Inguron55,23,Male,145,Fiery Glass Crusader,4.58
145,Chamirra53,23,Male,46,Hopeless Ebon Dualblade,1.33
167,Aeral97,23,Male,157,"Spada, Etcher of Hatred",4.8
189,Hiasri33,23,Male,63,Stormfury Mace,4.99
191,Frichjask31,23,Male,87,"Deluge, Edge of the West",4.43
200,Pheusrical25,23,Male,114,Yearning Mageblade,3.82
212,Shaidanu32,23,Male,159,"Oathbreaker, Spellblade of Trials",3.08
214,Iaralsuir44,23,Male,137,"Aetherius, Boon of the Blessed",3.39
218,Aelastirin39,23,Male,76,Haunted Bronzed Bludgeon,3.15
250,Saerallora71,23,Male,87,"Deluge, Edge of the West",4.43
254,Quanunwen42,23,Female,94,Mourning Blade,3.49
256,Chamirra53,23,Male,182,Toothpick,4.03
295,Alaephos75,23,Male,52,Hatred,4.84
313,Iasrira89,23,Male,182,Toothpick,4.03
315,Tyisur83,23,Male,107,"Splitter, Foe Of Subtlety",2.18
323,Tyisur83,23,Male,131,Fury,1.44
325,Hiasri33,23,Male,54,Eternal Cleaver,2.5
330,Hilaerin92,23,Male,167,"Malice, Legacy of the Queen",3.61
331,Chadilsasta32,23,Male,7,"Thorn, Satchel of Dark Souls",1.33
343,Chadilsasta32,23,Male,49,"The Oculus, Token of Lost Worlds",2.96
344,Qilalista41,23,Male,19,"Pursuit, Cudgel of Necromancy",1.02
347,Chamilsala65,23,Female,11,Brimstone,3.65
357,Heuli25,23,Female,37,"Shadow Strike, Glory of Ending Hope",3.16
369,Heuli25,23,Female,137,"Aetherius, Boon of the Blessed",3.39
371,Eusurdeu49,23,Male,155,War-Forged Gold Deflector,1.01
378,Haedairiadru51,23,Male,96,Blood-Forged Skeletal Spine,3.09
402,Heunadil74,23,Female,129,"Fate, Vengeance of Eternal Justice",1.54
414,Marokian45,23,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
420,Assesi91,23,Male,129,"Fate, Vengeance of Eternal Justice",1.54
426,Ilista82,23,Male,32,Orenmir,1.14
438,Qilunan34,23,Male,145,Fiery Glass Crusader,4.58
466,Undare39,23,Male,112,Worldbreaker,2.6
468,Aesur96,23,Male,30,Stormcaller,2.21
471,Sundadarla27,23,Male,122,Unending Tyranny,2.85
488,Malon70,23,Male,44,Bonecarvin Battle Axe,2.38
492,Ingatcil75,23,Male,143,Frenzied Scimitar,1.56
496,Tyeuduen32,23,Male,79,"Alpha, Oath of Zeal",4.05
503,Iaralsuir44,23,Male,59,"Lightning, Etcher of the King",4.23
504,Chamilsala65,23,Female,82,Nirvana,4.9
509,Inguron55,23,Male,117,"Heartstriker, Legacy of the Light",1.79
526,Ilosia37,23,Male,133,Faith's Scimitar,4.09
555,Pheosurllorin41,23,Female,7,"Thorn, Satchel of Dark Souls",1.33
559,Iasrira89,23,Male,34,Retribution Axe,2.22
574,Undare39,23,Male,131,Fury,1.44
581,Phaestycal84,23,Male,117,"Heartstriker, Legacy of the Light",1.79
586,Chanirra79,23,Female,155,War-Forged Gold Deflector,1.01
630,Aelaria33,23,Male,171,Scalpel,1.79
642,Chamadarsda63,23,Male,127,"Heartseeker, Reaver of Souls",3.92
646,Mindimnya67,23,Male,116,Renewed Skeletal Katana,4.18
684,Phaestycal84,23,Male,169,"Interrogator, Blood Blade of the Queen",2.18
693,Firatan58,23,Male,88,"Emberling, Defender of Delusions",3.75
715,Eusurdeu49,23,Male,8,"Purgatory, Gem of Regret",3.93
716,Saena89,23,Male,106,Crying Steel Sickle,3.41
726,Iduelis31,23,Male,21,Souleater,1.1
736,Tyialisti80,23,Male,58,"Freak's Bite, Favor of Holy Might",4.14
746,Aellyria80,23,Male,159,"Oathbreaker, Spellblade of Trials",3.08
754,Pheosurllorin41,23,Female,79,"Alpha, Oath of Zeal",4.05
766,Aelastirin39,23,Male,58,"Freak's Bite, Favor of Holy Might",4.14
5,Yalae81,22,Male,81,Dreamkiss,3.61
8,Undjask33,22,Male,21,Souleater,1.1
13,Assjaskan73,22,Male,4,Bloodlord's Fetish,1.7
18,Reunasu60,22,Female,82,Nirvana,4.9
35,Jeyciman68,22,Male,53,Vengeance Cleaver,2.05
51,Chanosia34,22,Male,15,Soul Infused Crystal,2.96
89,Eoralrap26,22,Male,17,"Lazarus, Terror of the Earth",1.7
93,Yathedeu43,22,Male,88,"Emberling, Defender of Delusions",3.75
106,Lassjaskan73,22,Male,54,Eternal Cleaver,2.5
109,Hirirap39,22,Male,33,Curved Axe,1.16
114,Undirrala66,22,Male,150,Deathraze,2.85
131,Jiskassa76,22,Male,62,Piece Maker,1.87
136,Iskirra45,22,Male,105,Hailstorm Shadowsteel Scythe,3.03
164,Chanastst38,22,Male,96,Blood-Forged Skeletal Spine,3.09
166,Sondim68,22,Female,30,Stormcaller,2.21
170,Lisopela58,22,Male,75,Brutality Ivory Warmace,2.42
209,Eulasuir89,22,Male,162,Abyssal Shard,2.67
222,Chamjask73,22,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
223,Undirrala66,22,Male,142,Righteous Might,2.62
241,Undilsan50,22,Male,10,Sleepwalker,1.79
251,Iasur80,22,Male,23,Crucifer,1.99
271,Heollyra92,22,Male,166,Thirsty Iron Reaver,3.07
293,Lisopela58,22,Male,117,"Heartstriker, Legacy of the Light",1.79
296,Syalollorap93,22,Female,65,Conqueror Adamantite Mace,4.24
300,Chanastya70,22,Male,136,Ghastly Adamantite Protector,3.58
327,Layjask75,22,Female,17,"Lazarus, Terror of the Earth",1.7
336,Phaedue89,22,Female,45,Glinting Glass Edge,3.85
338,Lisossa25,22,Male,13,Serenity,1.41
340,Yastyriaphos75,22,Male,41,Orbit,4.75
352,Ilarin91,22,Male,79,"Alpha, Oath of Zeal",4.05
362,Malil90,22,Male,107,"Splitter, Foe Of Subtlety",2.18
364,Yarithllodeu72,22,Male,88,"Emberling, Defender of Delusions",3.75
366,Hirirap39,22,Male,31,Trickster,1.55
385,Hiral75,22,Male,29,"Chaos, Ender of the End",1.98
400,Ilarin91,22,Male,72,Winter's Bite,3.77
415,Sausosia74,22,Male,120,Agatha,3.08
429,Aiduesu86,22,Female,179,"Wolf, Promise of the Moonwalker",4.48
439,Quarrion42,22,Male,59,"Lightning, Etcher of the King",4.23
447,Yalae81,22,Male,120,Agatha,3.08
464,Rianistast50,22,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
472,Lisopela58,22,Male,18,"Torchlight, Bond of Storms",4.65
478,Sondim68,22,Female,35,Heartless Bone Dualblade,3.45
491,Marughi89,22,Male,22,Amnesia,2.18
507,Chanastnya43,22,Male,29,"Chaos, Ender of the End",1.98
510,Eulolis41,22,Male,162,Abyssal Shard,2.67
520,Chamjask73,22,Female,109,"Downfall, Scalpel Of The Emperor",4.76
528,Isurria36,22,Female,19,"Pursuit, Cudgel of Necromancy",1.02
554,Dyally87,22,Male,63,Stormfury Mace,4.99
561,Chanastnya43,22,Male,35,Heartless Bone Dualblade,3.45
564,Chamjask73,22,Female,52,Hatred,4.84
585,Chanirrala39,22,Male,85,Malificent Bag,1.75
587,Assirra56,22,Male,141,Persuasion,3.19
592,Lisast98,22,Male,170,Shadowsteel,3.97
595,Yathedeu43,22,Male,55,Vindictive Glass Edge,2.27
598,Halaecal66,22,Male,111,Misery's End,4.89
633,Chanastnya43,22,Male,80,Dreamsong,3.39
636,Chanirrala39,22,Male,78,"Glimmer, Ender of the Moon",4.4
640,Sausosia74,22,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
669,Mindesi74,22,Male,45,Glinting Glass Edge,3.85
685,Halaecal66,22,Male,34,Retribution Axe,2.22
694,Mindesi74,22,Male,164,Exiled Doomblade,1.63
705,Aelidru27,22,Male,183,Dragon's Greatsword,1.09
710,Lisossa25,22,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71
713,Iasur80,22,Male,46,Hopeless Ebon Dualblade,1.33
722,Ilarin91,22,Male,92,Final Critic,4.88
731,Eudanu84,22,Female,12,Dawne,1.02
737,Marundi65,22,Male,149,"Tranquility, Razor of Black Magic",1.75
740,Reunasu60,22,Female,127,"Heartseeker, Reaver of Souls",3.92
744,Chanastst38,22,Male,94,Mourning Blade,3.49
750,Iljask75,22,Male,167,"Malice, Legacy of the Queen",3.61
12,Saelaephos52,21,Male,116,Renewed Skeletal Katana,4.18
15,Lisassa64,21,Female,98,"Deadline, Voice Of Subtlety",2.89
17,Zontibe81,21,Male,161,Devine,1.76
28,Aela59,21,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32
